(54,42)
(54,43)
(54,44)
(55,44)
(55,45)
(55,46)
(55,47)
(55,48)
(55,49)
(55,51)
(55,52)
(55,53)
(55,55)
(55,56)
(55,58)
(55,59)
(55,62)
(55,63)
(55,65)
(55,67)
(55,69)
(55,71)
(55,74)
(55,77)
(55,80)
(55,82)
(55,84)
(56,88)
(56,89)
(57,91)
(57,93)
(58,95)
(58,97)
(58,101)
(59,106)
(59,109)
(60,110)
(60,112)
(61,114)
(61,116)
(61,117)
(62,119)
(62,122)
(63,124)
(63,126)
(64,128)
(64,129)
(65,131)
(66,133)
(67,135)
(68,138)
(69,139)
(70,141)
(71,143)
(72,144)
(72,146)
(73,147)
(75,148)
(76,149)
(77,151)
(78,152)
(78,153)
(79,155)
(80,156)
(81,157)
(82,158)
(83,159)
(83,160)
(84,161)
(85,162)
(85,163)
(86,164)
(87,165)
(88,166)
(89,167)
(90,167)
(91,167)
(92,168)
(93,169)
(94,169)
(95,169)
(96,169)
(97,169)
(98,169)
(99,168)
(100,168)
(101,167)
(102,167)
(103,167)
(103,166)
(104,166)
(105,165)
(106,164)
(106,163)
(107,162)
(107,161)
(108,160)
(108,159)
(108,157)
(109,156)
(109,154)
(110,153)
(110,151)
(111,149)
(111,147)
(111,146)
(111,144)
(112,142)
(112,140)
(112,139)
(112,135)
(112,133)
(112,131)
(113,128)
(113,125)
(114,123)
(114,121)
(114,120)
(114,117)
(114,116)
(114,114)
(114,112)
(115,110)
(115,109)
(115,107)
(116,105)
(116,102)
(117,99)
(117,97)
(118,95)
(118,94)
(119,92)
(119,91)
(120,90)
(120,88)
(121,86)
(122,85)
(122,84)
(123,84)
(124,83)
(125,82)
(126,81)
(127,81)
(128,80)
(129,79)
(130,79)
(131,79)
(132,79)
(133,79)
(134,79)
(135,79)
(136,79)
(137,79)
(137,80)
(138,81)
(139,82)
(139,84)
(140,85)
(140,87)
(141,89)
(141,91)
(141,92)
(142,94)
(142,96)
(143,98)
(143,100)
(144,103)
(144,106)
(145,110)
(146,113)
(146,115)
(146,117)
(146,118)
(146,121)
(146,124)
(146,126)
(147,128)
(147,132)
(147,135)
(147,137)
(147,140)
(147,143)
(147,145)
(147,147)
(147,149)
(147,151)
(147,154)
(147,157)
(147,161)
(147,165)
(146,168)
(146,170)
(146,171)
(146,174)
(146,177)
(146,179)
(146,181)
(147,184)
(147,188)
(147,192)
(147,195)
(147,197)
(147,200)
(147,202)
(147,204)
(147,206)
(147,207)
(148,210)
(149,214)
(150,217)
(150,219)
(151,223)
(151,225)
(152,227)
(153,230)
(153,232)
(154,233)
(155,235)
(156,238)
(157,240)
(158,242)
(159,243)
(160,245)
(161,246)
(162,249)
(163,251)
(164,253)
(164,254)
(165,255)
(165,257)
(166,258)
(167,259)
(167,260)
(168,261)
(169,262)
(170,262)
(171,263)
(172,263)
(172,264)
(173,264)
(174,265)
(175,265)
(176,265)
(177,265)
(178,265)
(179,265)
(180,265)
(181,264)
(182,264)
(182,263)
(183,263)
(183,262)
(184,262)
(185,261)
(186,259)
(187,258)
(188,257)
(189,256)
(189,255)
(189,254)
(190,252)
(190,251)
(191,250)
(191,248)
(192,245)
(192,243)
(193,241)
(193,238)
(194,235)
(194,233)
(194,231)
(194,230)
(195,229)
(195,227)
(195,225)
(195,223)
(195,222)
(196,218)
(196,216)
(197,213)
(197,209)
(197,206)
(197,204)
(197,203)
(197,201)
(197,199)
(197,196)
(197,192)
(197,188)
(197,184)
(197,181)
(197,178)
(196,175)
(196,173)
(196,171)
(196,170)
(195,167)
(195,164)
(194,162)
(194,159)
(193,155)
(193,152)
(193,150)
(193,149)
(193,147)
(193,146)
(193,144)
(193,143)
(193,142)
(193,140)
(193,139)
(193,138)
(193,137)
(193,136)
(193,135)
(194,134)
(194,132)
(194,131)
(195,130)
(195,129)
(196,128)
(196,127)
(197,126)
(197,125)
(197,124)
(198,124)
(199,123)
(200,122)
(201,122)
(202,122)
(204,122)
(205,123)
(206,123)
(208,124)
(209,124)
(211,124)
(211,125)
(213,126)
(214,127)
(214,128)
(216,129)
(216,130)
(217,131)
(218,131)
(219,132)
(220,134)
(221,135)
(222,137)
(222,139)
(223,140)
(224,142)
(225,144)
(225,146)
(225,148)
(226,149)
(226,151)
(227,153)
(227,155)
(228,157)
(228,158)
(228,161)
(229,164)
(230,166)
(230,167)
(230,169)
(231,171)
(231,173)
(232,174)
(232,175)
(233,177)
(233,179)
(233,180)
(233,182)
(234,183)
(234,184)
(235,185)
(235,187)
(236,188)
(236,189)
(236,191)
(237,193)
(237,194)
(238,196)
(238,197)
(239,198)
(240,200)
(241,201)
(241,202)
(242,204)
(243,205)
(244,206)
(244,207)
(245,208)
(245,209)
(246,210)
(246,211)
(247,212)
(247,213)
(248,213)
(248,214)
(249,215)
(250,215)
(251,216)
(252,216)
(253,217)
(254,218)
(255,218)
(257,218)
(258,219)
(259,219)
(261,220)
(262,220)
(264,220)
(265,220)
(266,220)
(267,220)
(268,220)
(269,220)
(270,220)
(271,220)
(272,220)
(274,220)
(275,220)
(276,220)
(277,220)
(279,219)
(280,219)
(281,218)
(283,218)
(284,218)
(285,218)
(286,217)
(288,217)
(290,216)
(291,216)
(292,216)
(293,216)
(294,216)
(295,216)
(296,216)
(297,217)
(298,217)
(299,217)
(300,217)
(301,217)
(302,217)
(303,217)
(304,217)
(305,217)
(307,217)
(308,217)
(309,217)
(311,218)
(312,218)
(313,218)
(314,219)
(316,219)
(317,220)
(318,220)
(318,221)
(319,221)
(320,222)
(321,222)
(322,223)
(323,223)
(323,224)
(324,224)
(325,225)
(325,226)
(326,226)
(326,227)
(327,227)
(327,228)
